ubigeo_departamento,departamento,ubigeo_provincia,provincia,ubigeo_distrito,distrito,total_asistentes,pct_total_asistentes,total_ausentes,pct_total_ausentes,electores_habiles,date_upd,hour_upd,pct_avance
020000,ANCASH,021000,PALLASCA,021005,HUANDOVAL,429,59.172,296,40.828,725,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021006,LACABAMBA,228,49.458,233,50.542,461,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021007,LLAPO,324,72.973,120,27.027,444,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021008,PALLASCA,1206,63.174,703,36.826,1909,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021009,PAMPAS,1616,54.338,1358,45.662,2974,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021010,SANTA ROSA,495,66.176,253,33.824,748,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021011,TAUCA,1216,61.321,767,38.679,1983,2021-04-19,11:49,97.708
020000,ANCASH,021100,POMABAMBA,021102,HUAYLLAN,1991,74.85,669,25.15,2660,2021-04-19,11:49,97.708
020000,ANCASH,021100,POMABAMBA,021103,PAROBAMBA,2941,62.963,1730,37.037,4671,2021-04-19,11:49,97.708
020000,ANCASH,021100,POMABAMBA,021101,POMABAMBA,7140,72.085,2765,27.915,9905,2021-04-19,11:49,97.708
020000,ANCASH,021100,POMABAMBA,021104,QUINUABAMBA,1146,69.161,511,30.839,1657,2021-04-19,11:49,97.708
